P=[(1246.6,1362.1)],A=[(1219.0,1290.0);(1324.0,1323.0);(1078.0,1248.0);None],B=[(1256.0,1220.0);(1338.0,1255.0);(1104.0,1190.0);(1073.0,1326.0)]
P=[(1247.0,1362.3)],A=[(1438.0,1230.0);(1218.0,1290.0);(1326.0,1323.0);(1078.0,1248.0)],B=[(1252.0,1221.0);(1336.0,1255.0);(1105.0,1190.0);(1074.0,1326.0)]
P=[(1247.0,1361.9)],A=[(1436.0,1230.0);(1219.0,1290.0);(1325.0,1323.0);None],B=[(1253.0,1221.0);(1337.0,1255.0);(1074.0,1326.0);(1109.0,1189.0)]
P=[(1247.1,1361.9)],A=[(1218.0,1290.0);(1437.0,1230.0);(1078.0,1248.0);None],B=[(1256.0,1220.0);(1334.0,1255.0);(1074.0,1326.0);(1109.0,1189.0)]
P=[(1247.0,1362.1)],A=[(1218.0,1290.0);(1436.0,1230.0);(1078.0,1248.0);(1325.0,1323.0)],B=[(1339.0,1255.0);(1256.0,1220.0);(1110.0,1189.0);(1075.0,1326.0)]
P=[(1247.1,1362.0)],A=[(1219.0,1290.0);(1078.0,1248.0);(1325.0,1323.0);(1435.0,1230.0)],B=[(1256.0,1220.0);(1109.0,1189.0);(1076.0,1326.0);(1335.0,1255.0)]
P=[(1246.9,1362.1)],A=[(1218.0,1290.0);(1436.0,1230.0);(1326.0,1323.0);(1078.0,1248.0)],B=[(1074.0,1326.0);(1105.0,1190.0);(1336.0,1255.0);None]
P=[(1247.1,1361.9)],A=[(1437.0,1230.0);(1217.0,1290.0);(1326.0,1323.0);(1078.0,1248.0)],B=[(1256.0,1220.0);(1336.0,1255.0);(1110.0,1189.0);(1074.0,1326.0)]
P=[(1247.1,1361.9)],A=[(1437.0,1230.0);(1220.0,1290.0);(1078.0,1248.0);(1326.0,1323.0)],B=[(1258.0,1220.0);(1339.0,1255.0);(1110.0,1189.0);(1076.0,1326.0)]
P=[(1247.0,1362.0)],A=[(1219.0,1290.0);(1436.0,1230.0);(1327.0,1322.0);(1077.0,1248.0)],B=[(1256.0,1220.0);(1105.0,1190.0);(1075.0,1326.0);(1335.0,1255.0)]
P=[(1247.1,1362.0)],A=[(1219.0,1290.0);(1435.0,1230.0);(1077.0,1248.0);(1325.0,1323.0)],B=[(1257.0,1220.0);(1074.0,1326.0);(1105.0,1190.0);(1335.0,1255.0)]
P=[(1247.1,1361.9)],A=[(1218.0,1290.0);(1436.0,1230.0);(1078.0,1248.0);None],B=[(1257.0,1220.0);(1338.0,1255.0);(1075.0,1326.0);(1105.0,1190.0)]
P=[(1247.1,1362.0)],A=[(1217.0,1290.0);(1436.0,1230.0);(1077.0,1248.0);None],B=[(1259.0,1220.0);(1336.0,1255.0);(1108.0,1189.0);(1074.0,1326.0)]
P=[(1247.1,1362.0)],A=[(1436.0,1230.0);(1219.0,1290.0);(1078.0,1248.0);(1326.0,1323.0)],B=[(1258.0,1220.0);(1105.0,1190.0);(1339.0,1255.0);(1074.0,1326.0)]
P=[(1247.0,1362.0)],A=[(1218.0,1290.0);(1437.0,1230.0);(1077.0,1248.0);(1325.0,1323.0)],B=[(1258.0,1220.0);(1337.0,1255.0);(1075.0,1326.0);(1110.0,1189.0)]
P=[(1247.1,1361.9)],A=[(1435.0,1230.0);(1218.0,1290.0);(1077.0,1248.0);None],B=[(1336.0,1255.0);(1257.0,1220.0);(1074.0,1326.0);(1109.0,1189.0)]
P=[(1247.0,1362.0)],A=[(1218.0,1290.0);(1437.0,1230.0);(1078.0,1248.0);None],B=[(1257.0,1220.0);(1337.0,1255.0);(1109.0,1189.0);(1074.0,1326.0)]
P=[(1247.2,1361.9)],A=[(1219.0,1290.0);(1437.0,1230.0);(1077.0,1248.0);(1327.0,1323.0)],B=[(1258.0,1220.0);(1075.0,1326.0);(1336.0,1255.0);(1104.0,1190.0)]
P=[(1247.0,1361.9)],A=[(1219.0,1290.0);(1435.0,1230.0);(1078.0,1248.0);(1327.0,1323.0)],B=[(1253.0,1221.0);(1337.0,1255.0);(1108.0,1189.0);(1074.0,1326.0)]
P=[(1247.1,1362.0)],A=[(1218.0,1290.0);(1436.0,1230.0);(1330.0,1322.0);(1077.0,1248.0)],B=[(1258.0,1220.0);(1335.0,1255.0);(1108.0,1189.0);(1074.0,1326.0)]
P=[(1247.0,1362.1)],A=[(1218.0,1290.0);(1437.0,1230.0);(1327.0,1323.0);(1077.0,1248.0)],B=[(1258.0,1220.0);(1111.0,1189.0);(1338.0,1255.0);(1074.0,1326.0)]
P=[(1247.1,1362.0)],A=[(1437.0,1230.0);(1218.0,1290.0);(1077.0,1248.0);(1326.0,1323.0)],B=[(1337.0,1255.0);(1255.0,1220.0);(1075.0,1326.0);(1111.0,1189.0)]
P=[(1247.0,1361.9)],A=[(1221.0,1290.0);(1437.0,1230.0);(1077.0,1248.0);(1325.0,1323.0)],B=[(1257.0,1220.0);(1339.0,1255.0);(1105.0,1190.0);(1075.0,1326.0)]
